Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Train Accuracy,Validation Accuracy,Model Size,History Plot
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,0.981249988079071,0.6833333373069763,3.1961097717285156,./plots/eye/hist/history_0.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,0.9854166507720947,0.75,3.1961097717285156,./plots/eye/hist/history_1.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,0.9916666746139526,0.8999999761581421,3.1961097717285156,./plots/eye/hist/history_2.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,0.9729166626930237,0.75,3.1961097717285156,./plots/eye/hist/history_3.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,0.987500011920929,0.7166666388511658,3.1961097717285156,./plots/eye/hist/history_4.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,0.9958333373069763,0.8999999761581421,3.1961097717285156,./plots/eye/hist/history_5.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,0.9604166746139526,0.8166666626930237,1.6177406311035156,./plots/eye/hist/history_6.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,0.9895833134651184,0.6333333253860474,1.6177406311035156,./plots/eye/hist/history_7.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,0.9916666746139526,0.6333333253860474,1.6177406311035156,./plots/eye/hist/history_8.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,0.9895833134651184,0.7666666507720947,1.6177406311035156,./plots/eye/hist/history_9.png
