Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Test Accuracy,Model Size,Recall Drowsy,Recall Non-Drowsy,History Plot,Confusion Matrix
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,79.00000214576721,3.1961097717285156,0.72,0.78,./plots/full_face/hist/history_1.png,./plots/full_face/cm/confusion_matrix_1.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,79.00000214576721,3.1961097717285156,0.64,0.9,./plots/full_face/hist/history_2.png,./plots/full_face/cm/confusion_matrix_2.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,57.999998331069946,3.1961097717285156,0.72,0.38,./plots/full_face/hist/history_3.png,./plots/full_face/cm/confusion_matrix_3.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,80.0000011920929,3.1961097717285156,0.68,0.96,./plots/full_face/hist/history_4.png,./plots/full_face/cm/confusion_matrix_4.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,77.99999713897705,3.1961097717285156,0.64,0.98,./plots/full_face/hist/history_5.png,./plots/full_face/cm/confusion_matrix_5.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,61.000001430511475,3.1961097717285156,0.98,0.22,./plots/full_face/hist/history_6.png,./plots/full_face/cm/confusion_matrix_6.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,69.9999988079071,1.6177406311035156,0.64,0.74,./plots/full_face/hist/history_7.png,./plots/full_face/cm/confusion_matrix_7.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,77.99999713897705,1.6177406311035156,0.98,0.56,./plots/full_face/hist/history_8.png,./plots/full_face/cm/confusion_matrix_8.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,63.999998569488525,1.6177406311035156,0.34,0.98,./plots/full_face/hist/history_9.png,./plots/full_face/cm/confusion_matrix_9.png
0.001,"[16, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,57.999998331069946,1.6177406311035156,1.0,0.1,./plots/full_face/hist/history_10.png,./plots/full_face/cm/confusion_matrix_10.png
